track_id,artists,track_name
4Hpib09wXgD84w4uwTPnYD,Saweetie,Tap In
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control
0ada5XsQGLPUVbmTCkAP49,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi)
5SWnsxjhdcEDc7LJjq9UHk,21 Savage,Runnin
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go
3nS9a01VvXHQriLqJYwRqG,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug)
4Q34FP1AT7GEl9oLgNtiWj,21 Savage,Mr. Right Now (feat. Drake)
30bqVoKjX479ab90a8Pafp,Lil Peep,Star Shopping
1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,WHATS POPPIN
3JKgcAa7r07ocVWcV8bS0H,Polo G,21
6wJYhPfqk3KGhHRG76WzOh,Lil Mosey,Blueberry Faygo
2mt1IqcFyY1zmYZT8Q3xw9,blackbear,hot girl bummer
7kDUspsoYfLkWnZR7qwHZl,Machine Gun Kelly,my ex's best friend (with blackbear)
43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over
3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me
2r6OAV3WsYtXuXjvJ1lIDi,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie)
2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)"
7JDWhC422Gtk1Bq0mL3OTC,Bea Miller,feel something
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You
0TK2YIli7K1leLovkQiNik,Shawn Mendes,Se?§orita
5yY9lUy8nbvjM1Uyo1Uqoc,Future,Life Is Good (feat. Drake)
4pvb0WLRcMtbPGmtejJJ6y,Taylor Swift,exile (feat. Bon Iver)
4wVOKKEHUJxHCFFNUWDn0B,Drake,Chicago Freestyle (feat. Giveon)
6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani)
5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,It's You
6gi6y1xwmVszDWkUqab1qw,JACKBOYS,OUT WEST (feat. Young Thug)
6KfoDhO4XUWSbnyKjNp9c4,Conan Gray,Maniac
7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Pumped Up Kicks
3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next"
3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares
4K06PO78fW4mnBVenxGNob,Juice WRLD,Conversations
5dOxHHMOFAbG3VH23t0xNm,Juice WRLD,Righteous
6gxKUmycQX7uyMwJcweFjp,Lil Baby,We Paid (feat. 42 Dugg)
75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder
4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,Bruises
5v4GgrXPMghOnBBLmveLac,Megan Thee Stallion,Savage Remix (feat. Beyonc??)
6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,July
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer
6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,No Guidance (feat. Drake)
3QzAOrNlsabgbMwlZt7TAY,Mustard,Ballin' (with Roddy Ricch)
1bRpSCFv6P2OUhciByeRYR,Alex Rose,Jangueo
6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again)
1cVlW9WQiGlFdWUXFdFZGh,Piso 21,Pa' Olvidarme De Ella
5KawlOMHjWeUjQtnuRs22c,BTS,Boy With Luv (feat. Halsey)
4ja2gzrNh9VNigzoXfmbwD,Peach Tree Rascals,Mariposa
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph
7v96VvFLS0wSYT8kewNLRy,Money Man,24 (feat. Lil Baby)
34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud
3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,Hips Don't Lie (feat. Wyclef Jean)
7MXVkk9YMctZqd1Srtv4MB,The Weeknd,Starboy
2QqJTIlGKRLJC3onkavYEz,Polo G,Flex (feat. Juice WRLD)
1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take
7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Sofia
0qJeyYAgv6UpvewUxRXAhb,Rod Wave,Rags2Riches 2 (feat. Lil Baby)
6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP
6cy3ki60hLwimwIje7tALf,Black Eyed Peas,RITMO (Bad Boys For Life)
7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love (feat. Trippie Redd)
0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,the 1
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?
2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Take on Me
1e9oZCCiX42nJl0AcqriVo,Harry Styles,Watermelon Sugar
7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3
2YpeDb67231RjR0MgVLzsG,Lil Nas X,Old Town Road - Remix
6Ed1q0X8oSKSm4IIhiQbYg,Joji,Daylight
7sQKy5vlPQllr0k9IjYJv3,D??melo Flow,Sigues Con El
3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,I Don't Care (with Justin Bieber)
7xQAfvXzm3AkraOtGPWIZg,Post Malone,Wow.
099tjv6oy2opbpCOA3nBwX,Ir Sais,Dream Girl - Remix
5stPVcRqb4qixbafP9e8lt,Dalex,Hola - Remix
6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love
3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,This City
6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?
6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This
0fea68AdmYNygeTGI4RC18,J Balvin,LA CANCI??N
1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,Ransom
22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker
4evmHXcjt3bTUHD1cvny97,Ed Sheeran,Beautiful People (feat. Khalid)
3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow
5wWAwzGp2OaaoIkwcz6wZs,Juice WRLD,Life's A Mess (feat. Halsey)
7vGuf3Y35N4wmASOKLUVVU,Marshmello,Silence
7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me
1VSuFS7PahCN3SWbOcQ98m,Machine Gun Kelly,forget me too (feat. Halsey)
5rb9QrpfcKFHM1EUbSIurX,Usher,Yeah! (feat. Lil Jon & Ludacris)
75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart
5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,Stay With Me
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours
0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min
2T5NBwKRySiCR78vVk08vr,DaBaby,BLIND (feat. Young Thug)
2rFsFjq0D9JAmc0APpCO6P,Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd)
6pcywuOeGGWeOQzdUyti6k,21 Savage,Glock In My Lap
2rPHUAeUPbNgTmK18FPTiZ,The Kid LAROI,GO (feat. Juice WRLD)
7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One
6WbTTAGKrQtCQvmc5BuYfh,Megan Thee Stallion,Girls in the Hood
7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.
52okn5MNA47tk87PeZJLEL,NF,Let You Down
0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
51Fjme0JiitpyXKuyQiCDo,Y2K,Lalala
5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,Make You Mine
7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!
1ENdcyhqdylaLsPVgB83qq,Rod Wave,Rags2Riches (feat. ATR Son Son)
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On
7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,ocean eyes
3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations
0t3ZvGKlmYmVsDzBJAXK8C,Post Malone,Goodbyes (feat. Young Thug)
74j34STf8L6uADnTN69ohv,Rauw Alejandro,El Efecto - Remix
2TH65lNHgvLxCKXM3apjxI,Bad Bunny,Callaita
5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,Billie Jean
60iSKGrGazRzICtMjADNSM,Lewis Capaldi,Hold Me While You Wait
4jAIqgrPjKLTY9Gbez25Qb,Harry Styles,Lights Up
0ecC8p17cDNlxHXkuYqeR6,Natalie Taylor,Surrender
0GONea6G2XdnHWjNZd6zt3,Bryan Adams,Summer Of '69
1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,Dusk Till Dawn - Radio Edit
2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier
1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,Piece Of Your Heart
4nVBt6MZDDP6tRVdQTgxJg,One Direction,Story of My Life
4cluDES4hQEUhmXj6TXkSo,One Direction,What Makes You Beautiful
4SJHHpKhcuXwDsCsPqshXj,Rauw Alejandro,El Efecto
3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton
5ry2OE6R2zPQFDO85XkgRb,Drake,Money In The Grave (Drake ft. Rick Ross)
2Wo6QQD1KMDWeFkkjLqwx5,SAINt JHN,Roses - Imanbek Remix
5Ohxk2dO5COHF1krpoPigN,Harry Styles,Sign of the Times
4EivmOT13NMpNSfTKn9p4s,Doja Cat,Like That (feat. Gucci Mane)
0NlGoUyOJSuSHmngoibVAs,Kodaline,All I Want
6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you
0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man
6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay)
2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD
07KXEDMj78x68D884wgVEm,Roddy Ricch,High Fashion (feat. Mustard)
0d28khcov6AiegSCpG5TuT,Gorillaz,Feel Good Inc.
0S0vWvyZ6Rc79TXkWxT9QA,Lil Peep,Save That Shit
6WkJ2OK163XXS2oARUC9JM,Aaron Smith,Dancin (feat. Luvli) - Krono Remix
7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,Fix You
6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,Hate Me (with Juice WRLD)
0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights
